technology,year,penetration_perc
Shipping container port infrastructure,1972,28.0
Shipping container port infrastructure,1973,30.0
Shipping container port infrastructure,1974,32.0
Shipping container port infrastructure,1975,38.0
Shipping container port infrastructure,1976,46.0
Shipping container port infrastructure,1977,52.0
Shipping container port infrastructure,1978,62.0
Shipping container port infrastructure,1979,72.0
Shipping container port infrastructure,1980,76.0
Shipping container port infrastructure,1981,87.0
Shipping container port infrastructure,1982,90.0
Shipping container port infrastructure,1983,91.0
Shipping container port infrastructure,1984,91.0
Shipping container port infrastructure,1985,92.0
Shipping container port infrastructure,1986,92.0
Smartphone usage,2011,35.0
Smartphone usage,2012,45.0
Smartphone usage,2013,54.0
Smartphone usage,2014,57.0
Smartphone usage,2015,68.0
Smartphone usage,2016,73.0
Smartphone usage,2017,73.0
Smartphone usage,2018,77.0
Smartphone usage,2019,81.0
Social media usage,2005,5.0
Social media usage,2006,11.0
Social media usage,2007,15.0
Social media usage,2008,21.0
Social media usage,2009,37.0
Social media usage,2010,48.0
Social media usage,2011,50.0
Social media usage,2012,59.0
Social media usage,2013,63.0
Social media usage,2014,62.0
Social media usage,2015,65.0
Social media usage,2016,69.0
Social media usage,2017,80.0
Social media usage,2018,77.0
Social media usage,2019,79.0
Stove,1900,10.0
Stove,1901,10.5
Stove,1902,11.0
Stove,1903,11.5
Stove,1904,12.0
Stove,1905,12.0
Stove,1906,13.0
Stove,1907,14.0
Stove,1908,14.5
Stove,1909,15.0
Stove,1910,16.0
Stove,1911,16.5
Stove,1912,17.0
Stove,1913,17.0
Stove,1914,17.0
Stove,1915,18.0
Stove,1916,18.33
Stove,1917,18.67
Stove,1918,19.0
Stove,1919,19.5
Stove,1920,20.0
Stove,1921,22.0
Stove,1922,23.0
Stove,1923,24.0
Stove,1924,25.0
Stove,1925,27.5
Stove,1926,30.0
Stove,1927,32.0
Stove,1928,34.0
Stove,1929,35.0
Stove,1930,36.0
Stove,1931,37.0
Stove,1932,37.0
Stove,1933,37.5
Stove,1934,38.0
Stove,1935,40.0
Stove,1936,45.0
Stove,1937,50.0
Stove,1938,50.0
Stove,1939,50.0
Stove,1940,53.0
Stove,1941,55.0
Stove,1942,57.0
Stove,1943,58.0
Stove,1944,59.0
Stove,1945,59.0
Stove,1946,61.0
Stove,1947,64.0
Stove,1948,67.0
Stove,1949,70.0
Stove,1950,74.0
Stove,1951,77.0
Stove,1952,80.0
Stove,1953,84.0
Stove,1954,85.5
Stove,1955,87.0
Stove,1956,88.5
Stove,1957,90.0
Stove,1958,93.0
Stove,1959,94.0
Stove,1960,95.0
Stove,1961,95.5
Stove,1962,96.0
Stove,1963,96.0
Stove,1964,96.5
Stove,1965,97.0
Stove,1966,97.33
Stove,1967,97.67
Stove,1968,98.0
Stove,1969,98.0
Stove,1970,98.33
Stove,1971,98.67
Stove,1972,99.0
Stove,1973,99.0
Stove,1974,99.0
Stove,1975,99.0
Stove,1976,99.0
Stove,1977,99.0
Stove,1978,99.0
Stove,1979,99.0
Stove,1980,99.0
Stove,1981,99.0
Stove,1982,99.0
Stove,1983,99.0
Stove,1984,99.0
Stove,1985,99.0
Stove,1986,99.0
Stove,1987,99.0
Stove,1988,99.0
Stove,1989,99.0
Stove,1990,99.0
Stove,1991,99.0
Stove,1992,99.0
Stove,1993,99.0
Stove,1994,99.0
Stove,1995,99.0
Stove,1996,99.0
Stove,1997,99.0
Stove,1998,99.0
Stove,1999,99.0
Stove,2000,99.0
Stove,2001,99.0
Stove,2002,99.0
Stove,2003,99.0
Stove,2004,99.0
Stove,2005,99.0
Stove,2010,98.6
Stove,2011,98.6
Tablet,2010,3.0
Tablet,2011,10.0
Tablet,2012,25.0
Tablet,2013,34.0
Tablet,2014,39.0
Tablet,2015,45.0
Tablet,2016,51.0
Tablet,2017,64.0
Television,1992,96.6
Television,1998,98.4
Television,2003,98.8
Television,2005,98.9
Television,2010,98.5
Television,2011,98.3
Television,2012,94.65
Television,2013,93.25
Television,2014,93.81
Television,2015,93.43
Television,2016,94.1
Television,2017,94.76
Television,2018,93.97
Vacuum,1922,31.5
Vacuum,1923,33.5
Vacuum,1924,35.7
Vacuum,1925,36.0
Vacuum,1926,37.1
Vacuum,1927,38.8
Vacuum,1928,40.5
Vacuum,1929,43.6
Vacuum,1930,44.5
Vacuum,1931,45.4
Vacuum,1932,46.6
Vacuum,1933,48.6
Vacuum,1934,48.1
Vacuum,1935,48.3
Vacuum,1936,48.9
Vacuum,1937,48.8
Vacuum,1938,49.0
Vacuum,1939,48.4
Vacuum,1940,49.2
Vacuum,1941,49.7
Vacuum,1942,49.5
Vacuum,1943,49.0
Vacuum,1944,48.2
Vacuum,1945,46.9
Vacuum,1946,48.8
Vacuum,1947,49.5
Vacuum,1948,51.7
Vacuum,1949,52.8
Vacuum,1950,56.5
Vacuum,1951,57.7
Vacuum,1952,59.4
Vacuum,1953,60.5
Vacuum,1954,62.2
Vacuum,1955,64.3
Vacuum,1956,66.7
Vacuum,1957,68.3
Vacuum,1958,70.9
Vacuum,1959,72.5
Vacuum,1960,74.3
Vacuum,1961,76.4
Vacuum,1962,78.2
Vacuum,1963,79.5
Vacuum,1964,81.2
Vacuum,1965,83.5
Vacuum,1966,85.6
Vacuum,1967,87.0
Vacuum,1968,89.1
Vacuum,1969,90.7
Vacuum,1970,92.0
Vacuum,1971,94.4
Vacuum,1972,96.9
Vacuum,1973,97.5
Vacuum,1974,98.4
Vacuum,1975,99.2
Vacuum,1976,99.5
Vacuum,1978,99.9
Videocassette recorder,1992,73.8
Videocassette recorder,1998,85.2
Videocassette recorder,2003,90.0
Videocassette recorder,2005,92.2
Videocassette recorder,2010,92.1
Videocassette recorder,2011,90.9
Washer,1920,39.0
Washer,1930,55.0
Washer,1960,73.0
Washer,1970,70.0
Washer,1984,73.0
Washer,1987,75.0
Washer,1989,75.0
Washer,1992,84.8
Washer,1998,90.9
Washer,2003,92.2
Washer,2005,84.0
Washer,2010,85.3
Washer,2011,85.2
Washing machine,1930,10.0
Washing machine,1931,12.0
Washing machine,1932,13.0
Washing machine,1933,15.0
Washing machine,1934,17.0
Washing machine,1935,19.0
Washing machine,1936,20.0
Washing machine,1937,22.0
Washing machine,1938,24.0
Washing machine,1939,25.0
Washing machine,1940,24.0
Washing machine,1941,22.0
Washing machine,1942,20.0
Washing machine,1943,19.0
Washing machine,1944,18.0
Washing machine,1945,17.0
Washing machine,1946,15.0
Washing machine,1947,16.0
Washing machine,1948,16.0
Washing machine,1949,17.0
Washing machine,1950,18.0
Washing machine,1951,19.0
Washing machine,1952,20.0
Washing machine,1953,22.0
Washing machine,1954,26.0
Washing machine,1955,29.0
Washing machine,1956,32.0
Washing machine,1957,35.0
Washing machine,1958,37.0
Washing machine,1959,38.0
Washing machine,1960,41.0
Washing machine,1961,43.0
Washing machine,1962,45.0
Washing machine,1963,47.0
Washing machine,1964,49.0
Washing machine,1965,50.0
Washing machine,1966,52.0
Washing machine,1967,53.0
Washing machine,1968,55.0
Washing machine,1969,58.0
Washing machine,1970,59.0
Washing machine,1971,61.0
Washing machine,1972,64.0
Washing machine,1973,66.0
Washing machine,1974,68.0
Washing machine,1975,70.0
Washing machine,1976,71.0
Washing machine,1977,72.0
Washing machine,1978,73.0
Washing machine,1979,73.0
Washing machine,1980,72.0
Washing machine,1981,71.0
Washing machine,1982,69.0
Washing machine,1983,69.0
Washing machine,1984,71.0
Washing machine,1985,71.0
Washing machine,1986,72.0
Washing machine,1987,73.0
Washing machine,1988,74.0
Washing machine,1989,76.0
Washing machine,1990,76.0
Washing machine,1991,77.0
Washing machine,1992,77.0
Washing machine,1993,77.0
Washing machine,1994,77.0
Washing machine,1995,77.0
Washing machine,1996,77.0
Washing machine,1997,77.0
Washing machine,1998,78.0
Washing machine,1999,78.0
Washing machine,2000,78.0
Washing machine,2001,79.0
Washing machine,2002,80.0
Washing machine,2003,81.0
Washing machine,2004,81.0
Washing machine,2005,81.0
Washing machine,2006,81.0
Washing machine,2007,80.0
Washing machine,2008,79.0
Water Heater,1933,1.0
Water Heater,1953,12.0
Water Heater,1960,20.0
Water Heater,1970,23.0
Water Heater,1982,29.0
Water Heater,1983,31.0
Water Heater,1986,35.0
